Fecha,Provincia,Diario,Acumulado
12/03/2020,Mendoza,0,0
12/03/2020,Misiones,0,0
12/03/2020,Neuquén,0,0
12/03/2020,Río Negro,0,1
12/03/2020,Salta,0,0
12/03/2020,San Juan,0,0
12/03/2020,San Luis,0,1
12/03/2020,Santa Cruz,0,0
12/03/2020,Santa Fe,0,0
12/03/2020,Santiago del Estero,0,0
12/03/2020,Tierra del Fuego,0,0
12/03/2020,Tucumán,0,0
13/03/2020,Buenos Aires,1,5
13/03/2020,Ciudad de Buenos Aires,2,17
13/03/2020,Catamarca,0,0
13/03/2020,Chaco,0,3
13/03/2020,Chubut,0,0
13/03/2020,Córdoba,0,1
13/03/2020,Corrientes,0,0
13/03/2020,Entre Ríos,0,0
13/03/2020,Formosa,0,0
13/03/2020,Jujuy,0,0
13/03/2020,La Pampa,0,0
13/03/2020,La Rioja,0,0
13/03/2020,Mendoza,0,0
13/03/2020,Misiones,0,0
13/03/2020,Neuquén,0,0
13/03/2020,Río Negro,0,1
13/03/2020,Salta,0,0
13/03/2020,San Juan,0,0
13/03/2020,San Luis,0,1
13/03/2020,Santa Cruz,0,0
13/03/2020,Santa Fe,0,0
13/03/2020,Santiago del Estero,0,0
13/03/2020,Tierra del Fuego,0,0
13/03/2020,Tucumán,0,0
14/03/2020,Buenos Aires,1,6
14/03/2020,Ciudad de Buenos Aires,1,18
14/03/2020,Catamarca,0,0
14/03/2020,Chaco,1,4
14/03/2020,Chubut,0,0
14/03/2020,Córdoba,0,1
14/03/2020,Corrientes,0,0
14/03/2020,Entre Ríos,0,0
14/03/2020,Formosa,0,0
14/03/2020,Jujuy,0,0
14/03/2020,La Pampa,0,0
14/03/2020,La Rioja,0,0
14/03/2020,Mendoza,0,0
14/03/2020,Misiones,0,0
14/03/2020,Neuquén,0,0
14/03/2020,Río Negro,0,1
14/03/2020,Salta,0,0
14/03/2020,San Juan,0,0
14/03/2020,San Luis,0,1
14/03/2020,Santa Cruz,0,0
14/03/2020,Santa Fe,1,1
14/03/2020,Santiago del Estero,0,0
14/03/2020,Tierra del Fuego,0,0
14/03/2020,Tucumán,0,0
15/03/2020,Buenos Aires,1,7
15/03/2020,Ciudad de Buenos Aires,6,24
15/03/2020,Catamarca,0,0
15/03/2020,Chaco,2,6
15/03/2020,Chubut,0,0
15/03/2020,Córdoba,0,1
15/03/2020,Corrientes,0,0
